Date,daily_cases,daily_cases_7d_avg
2020-11-20,55.0,32
2020-11-21,78.0,39
2020-11-22,89.0,48
2020-11-23,104.0,58
2020-11-24,87.0,67
2020-11-25,111.0,80
2020-11-26,87.0,87
2020-11-27,106.0,95
2020-11-28,98.0,97
2020-11-29,142.0,105
2020-11-30,103.0,105
2020-12-01,91.0,105
2020-12-02,122.0,107
2020-12-03,112.0,111
2020-12-04,139.0,115
2020-12-05,130.0,120
2020-12-06,106.0,115
2020-12-07,98.0,114
2020-12-08,116.0,118
2020-12-09,116.0,117
2020-12-10,130.0,119
2020-12-11,104.0,114
2020-12-12,108.0,111
2020-12-13,120.0,113
2020-12-14,107.0,114
2020-12-15,115.0,114
2020-12-16,97.0,112
2020-12-17,114.0,109
2020-12-18,97.0,108
2020-12-19,148.0,114
2020-12-20,106.0,112
2020-12-21,114.0,113
2020-12-22,93.0,110
2020-12-23,83.0,108
2020-12-24,98.0,106
2020-12-25,93.0,105
2020-12-26,100.0,98
2020-12-27,105.0,98
2020-12-28,104.0,97
2020-12-29,78.0,94
2020-12-30,92.0,96
2020-12-31,90.0,95
2021-01-01,78.0,92
2021-01-02,82.0,90
2021-01-03,77.0,86
2021-01-04,122.0,88
2021-01-05,96.0,91
2021-01-06,144.0,98
2021-01-07,161.0,109
2021-01-08,130.0,116
2021-01-09,165.0,128
2021-01-10,128.0,135
2021-01-11,141.0,138
2021-01-12,251.0,160
2021-01-13,176.0,165
2021-01-14,241.0,176
2021-01-15,214.0,188
2021-01-16,218.0,196
2021-01-17,251.0,213
2021-01-18,279.0,233
2021-01-19,190.0,224
2021-01-20,240.0,233
2021-01-21,238.0,233
2021-01-22,260.0,239
2021-01-23,230.0,241
2021-01-24,271.0,244
2021-01-25,115.0,221
2021-01-26,161.0,216
2021-01-27,172.0,207
2021-01-28,108.0,188
2021-01-29,132.0,170
2021-01-30,129.0,155
2021-01-31,56.0,125
2021-02-01,75.0,119
2021-02-02,59.0,104
2021-02-03,51.0,87
2021-02-04,48.0,79
2021-02-05,75.0,70
2021-02-06,39.0,58
2021-02-07,52.0,57
2021-02-08,62.0,55
2021-02-09,54.0,54
2021-02-10,23.0,50
2021-02-11,49.0,51
2021-02-12,36.0,45
2021-02-13,32.0,44
2021-02-14,37.0,42
2021-02-15,32.0,38
2021-02-16,24.0,33
2021-02-17,32.0,35
2021-02-18,38.0,33
2021-02-19,29.0,32
2021-02-20,33.0,32
2021-02-21,36.0,32
2021-02-22,32.0,32
2021-02-23,32.0,33
2021-02-24,32.0,33
2021-02-25,27.0,32
2021-02-26,40.0,33
2021-02-27,44.0,35
2021-02-28,47.0,36
2021-03-01,37.0,37
2021-03-02,27.0,36
2021-03-03,40.0,37
2021-03-04,30.0,38
2021-03-05,31.0,37
2021-03-06,45.0,37
2021-03-07,41.0,36
2021-03-08,32.0,35
2021-03-09,35.0,36
2021-03-10,35.0,36
2021-03-11,40.0,37
2021-03-12,74.0,43
2021-03-13,74.0,47
2021-03-14,39.0,47
2021-03-15,51.0,50
2021-03-16,27.0,49
2021-03-17,31.0,48
2021-03-18,27.0,46
2021-03-19,22.0,39
2021-03-20,27.0,32
2021-03-21,19.0,29
2021-03-22,34.0,27
2021-03-23,35.0,28
2021-03-24,28.0,27
2021-03-25,28.0,28
2021-03-26,54.0,32
2021-03-27,41.0,34
2021-03-28,28.0,35
2021-03-29,31.0,35
2021-03-30,21.0,33
2021-03-31,28.0,33
2021-04-01,60.0,38
2021-04-02,66.0,39
2021-04-03,38.0,39
2021-04-04,54.0,43
2021-04-05,55.0,46
2021-04-06,23.0,46
2021-04-07,37.0,48
2021-04-08,32.0,44
2021-04-09,39.0,40
2021-04-10,23.0,38
2021-04-11,51.0,37
2021-04-12,32.0,34
2021-04-13,39.0,36
2021-04-14,25.0,34
2021-04-15,32.0,34
2021-04-16,63.0,38
2021-04-17,51.0,42
2021-04-18,52.0,42
2021-04-19,35.0,42
2021-04-20,36.0,42
2021-04-21,14.0,40
2021-04-22,48.0,43
2021-04-23,39.0,39
2021-04-24,26.0,36
2021-04-25,31.0,33
2021-04-26,32.0,32
2021-04-27,30.0,31
2021-04-28,39.0,35
2021-04-29,41.0,34
2021-04-30,38.0,34
2021-05-01,35.0,35
2021-05-02,29.0,35
2021-05-03,31.0,35
2021-05-04,26.0,34
2021-05-05,20.0,31
2021-05-06,20.0,28
2021-05-07,27.0,27
2021-05-08,23.0,25
2021-05-09,21.0,24
2021-05-10,36.0,25
2021-05-11,38.0,26
2021-05-12,18.0,26
2021-05-13,23.0,27
2021-05-14,37.0,28
2021-05-15,46.0,31
2021-05-16,46.0,35
2021-05-17,37.0,35
2021-05-18,29.0,34
2021-05-19,25.0,35
2021-05-20,40.0,37
2021-05-21,36.0,37
2021-05-22,42.0,36
2021-05-23,39.0,35
