Date,Confirmed,Deaths,Confirmed_daily,Deaths_daily,Confirmed_daily_seven_rolling,Deaths_daily_seven_rolling
2021-05-05,155684714,3349654,842369,14877,798019,13446
2021-05-06,156557290,3364262,872576,14608,794811,13285
2021-05-07,157392278,3378783,834988,14521,786699,13300
2021-05-08,158181221,3392088,788943,13305,785840,13340
2021-05-09,158830526,3402507,649305,10419,780430,13356
2021-05-10,159455449,3413570,624923,11063,771251,13273
2021-05-11,160181621,3427762,726172,14192,762754,13284
2021-05-12,160949550,3441913,767929,14151,752119,13180
2021-05-13,161684855,3455377,735305,13464,732509,13016
2021-05-14,162394780,3468377,709925,13000,714643,12799
2021-05-15,163026598,3480647,631818,12270,692197,12651
2021-05-16,163573172,3490915,546574,10268,677521,12630
2021-05-17,164116235,3502229,543063,11314,665827,12666
2021-05-18,164736006,3516310,619771,14081,650626,12650
2021-05-19,165408800,3529788,672794,13478,637036,12554
2021-05-20,165690919,3542965,282119,13177,572295,12513
2021-05-21,166317397,3555935,626478,12970,560374,12508
2021-05-22,166890042,3567369,572645,11434,551921,12389
2021-05-23,167371567,3577194,481525,9825,542628,12326
2021-05-24,167822262,3586314,450695,9120,529432,12012
2021-05-25,168356595,3599276,534333,12962,517227,11852
2021-05-26,168925182,3612081,568587,12805,502340,11756
2021-05-27,169472359,3625015,547177,12934,540206,11721
2021-05-28,169977978,3637016,505619,12001,522940,11583
2021-05-29,170458538,3647820,480560,10804,509785,11493
2021-05-30,170848636,3656202,390098,8382,496724,11287
2021-05-31,171235461,3664871,386825,8669,487600,11222
2021-06-01,171695471,3680082,460010,15211,476982,11544
2021-06-02,172183117,3691980,487646,11898,465419,11414
2021-06-03,172663902,3702144,480785,10164,455935,11018
2021-06-04,173089139,3712787,425237,10643,444452,10824
2021-06-05,173486079,3722183,396940,9396,432506,10623
2021-06-06,173809303,3729461,323224,7278,422952,10466
2021-06-07,174130990,3737520,321687,8059,413647,10378
2021-06-08,174501789,3748170,370799,10650,400903,9727
2021-06-09,174920328,3758323,418539,10153,391030,9478
2021-06-10,175373823,3774292,453495,15969,387132,10307
2021-06-11,175796382,3786030,422559,11738,386749,10463
2021-06-12,176164980,3795834,368598,9804,382700,10522
2021-06-13,176467978,3805101,302998,9267,379811,10806
2021-06-14,176777436,3813079,309458,7978,378064,10794
2021-06-15,177152356,3823828,374920,10749,378652,10808
2021-06-16,177541331,3833886,388975,10058,374429,10795
2021-06-17,177937632,3843207,396301,9321,366258,9845
2021-06-18,178341062,3852407,403430,9200,363526,9482
2021-06-19,178689527,3860570,348465,8163,360650,9248
2021-06-20,178992964,3867304,303437,6734,360712,8886
2021-06-21,179289570,3874286,296606,6982,358876,8744
2021-06-22,179699866,3883209,410296,8923,363930,8483
2021-06-23,180096920,3892588,397054,9379,365084,8386
2021-06-24,180506291,3901240,409371,8652,366951,8290
2021-06-25,180924286,3910471,417995,9231,369032,8295
2021-06-26,181287479,3917993,363193,7522,371136,8203
2021-06-27,181598524,3924070,311045,6077,372223,8109
2021-06-28,181931639,3930616,333115,6546,377438,8047
2021-06-29,182313066,3938757,381427,8141,373314,7935
2021-06-30,182712486,3947956,399420,9199,373652,7910
